;database_title;city;views;downloads;last_updated;download_link;description
277;2014 Census - Population By Structure Type (Ward) ; edmonton  ;624;171;2016-09-13 17:08:10+00:00;  https://data.edmonton.ca/d/c8st-3nuy ;2014 Census - Population By Structure Type (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
278;2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood) ; edmonton  ;619;299;2016-09-13 16:03:17+00:00;  https://data.edmonton.ca/d/nzvx-6q5z ;2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood) - All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
279;2014 Census - Population By Employment Status (Ward) ; edmonton  ;617;218;2016-09-13 16:56:27+00:00;  https://data.edmonton.ca/d/rffx-a53i ;2014 Census - Population By Employment Status (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
280;Cricket Fields ; edmonton  ;609;376;2017-11-14 22:13:42+00:00;  https://data.edmonton.ca/d/8svr-ivxz ;Cricket Fields - List of cricket fields in Edmonton
281;Fire Rescue Services - Recent Events ; edmonton  ;607;12826;2017-11-23 11:22:00+00:00;  https://data.edmonton.ca/d/f2hf-du2d ;Fire Rescue Services - Recent Events - To provide a list of recent events to which the Fire Rescue Services Branch responded. This dataset reflects a full day of incidents beginning from 12:00:00 am to 11:59:59 pm, reflecting incidents occurring “the day before yesterday” - minimum 24 to 48 hours ago.
282;2012 Census - Population By School Residency (Neighbourhood) ; edmonton  ;603;276;2016-09-13 16:49:06+00:00;  https://data.edmonton.ca/d/9s54-maam ;2012 Census - Population By School Residency (Neighbourhood) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
283;Mobile City Hall - Edmonton Insight Community ; edmonton  ;599;156;2016-03-09 22:44:11+00:00;  https://data.edmonton.ca/d/7adr-xhnb ;Mobile City Hall - Edmonton Insight Community - This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.
284;2009 Census - Population By Single Year Of Age And Gender (Ward) ; edmonton  ;595;324;2016-09-13 15:40:34+00:00;  https://data.edmonton.ca/d/ei4u-794h ;2009 Census - Population By Single Year Of Age And Gender (Ward) - All Census information is as of April 1, 2009. Ages of residents are effective April 1, 2009. Ward Reports are based on the 6-Ward system, which existed in the City of Edmonton until October, 2010. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only. The designation of “No Response” includes households from which no census data could be collected or only partial data was available. Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration).
285;Roadway Maintenance Areas ; edmonton  ;595;289;2017-04-12 21:54:41+00:00;  https://data.edmonton.ca/d/jir4-uuhx ;Roadway Maintenance Areas - The areas that transportation crews use to clean the streets. Please note, some neighbourhoods have more than one maintenance area.
286;Vacant Land - Industrial ; edmonton  ;594;246;2016-05-12 20:16:15+00:00;  https://data.edmonton.ca/d/jqz4-5xc9 ;"Vacant Land - Industrial - ""This inventory is a snapshot in time of vacant industrial land in Edmonton using data collected from January to December 2015. This is a dataset using centroid points to geolocate vacant industrial land parcels in the city.   The data was generated by extracting vacant industrial land data from the City of Edmonton’s Tax Assessment Control System and provides a summary of vacant industrial land in Edmonton’s industrial areas . Explanations of zoning and land use classifications applicable in the industrial areas are given at the following site: http://webdocs.edmonton.ca/InfraPlan/zoningbylaw/bylaw_12800.htm     A copy of this report can be viewed here: http://www.edmonton.ca/business_economy/documents/VILI%20Report%202015.pdf A vacant lot is classified as a registered lot (serviced or unserviced) that contains no permanent or temporary structures or developments at the time of inspection.  The City of Edmonton provides this information in good faith. While every effort has been made to ensure the accuracy of information contained in this report, the City of Edmonton provides no warranty, express or implied, regarding the accuracy, completeness or correctness of information contained herein. The City of Edmonton disclaims any liability for the use of this information. No part of this material may be reproduced, in whole or in part, without acknowledgement."""
287;Top 100 Mid- Block Collision Locations (2012-2013) ; edmonton  ;587;246;2014-12-15 20:45:23+00:00;  https://data.edmonton.ca/d/ug3k-mq4p ;Top 100 Mid- Block Collision Locations (2012-2013) - List of Top 100 Mid-block Collision Locations in Edmonton for the years 2012-2013. This file contains information about those mid-blocks in Edmonton , with a breakdown of collisions by the standard list of causes used in reporting.  Collision information is provided by the Motor Vehicle Collision Information System (MVCIS), maintained by the City of Edmonton Office of Traffic Safety. This system tracks police-reported collisions involving at least one motor vehicle that occur on public roadways and which result in property damage of $1,000 or more, as well as any collisions resulting in injury or fatality.   This file is meant as a companion piece to the Annual Collision Report, produced by the City of Edmonton Office of Traffic Safety. Please refer to the full report for more information on collisions in Edmonton, and definitions of the collision causes and injury types used in this file.
288;"""You're gonna love green"" Awareness - Edmonton Insight Community "; edmonton  ;577;165;2016-03-09 22:43:11+00:00;  https://data.edmonton.ca/d/vqrq-wbxj ;"""You're gonna love green"" Awareness - Edmonton Insight Community - This was one single topic among many as part of the January Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=185&t=1. Open from January 11 - 20, 2015. At the time the survey was launched survey invitations were sent to 2159 Insight Community Members. 1070 members completed the survey which represents a completion rate of 50%. A total of 1178 respondents completed the survey: 1070 Insight Community Members and 108 using the anonymous link which will have no demographic info."
289;Hired Equipment Contracts over $10,000 ; edmonton  ;583;525;2017-01-12 16:29:13+00:00;  https://data.edmonton.ca/d/gnse-cass ;Hired Equipment Contracts over $10,000 - An report of all Outline Agreements for hired equipment that were open and valid beginning.
290;2012 Census - Dwelling Unit By Structure Type (Ward) ; edmonton  ;566;228;2016-09-13 16:01:49+00:00;  https://data.edmonton.ca/d/4v56-4hak ;2012 Census - Dwelling Unit By Structure Type (Ward) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
291;2012 Census - Population By Marital Status (Ward) ; edmonton  ;565;194;2016-09-13 16:34:47+00:00;  https://data.edmonton.ca/d/62zc-p5yh ;2012 Census - Population By Marital Status (Ward) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
292;2014 Census - Population By Employment Status (Neighbourhood) ; edmonton  ;563;339;2016-09-13 16:56:11+00:00;  https://data.edmonton.ca/d/aaar-q4e3 ;2014 Census - Population By Employment Status (Neighbourhood) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
293;2012 Census - Population By Single Year Of Age And Gender (Ward) ; edmonton  ;561;310;2016-09-13 15:58:09+00:00;  https://data.edmonton.ca/d/33jk-s9st ;2012 Census - Population By Single Year Of Age And Gender (Ward) - All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
294;2014 Census - Dwelling Unit By Language (Ward) ; edmonton  ;560;191;2016-09-13 17:07:08+00:00;  https://data.edmonton.ca/d/72zq-a43j ;2014 Census - Dwelling Unit By Language (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
295;Downtown - Edmonton Insight Community ; edmonton  ;560;199;2016-03-09 22:23:18+00:00;  https://data.edmonton.ca/d/p6vh-uycj ;Downtown - Edmonton Insight Community - This was one single topic among many as part of the June 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=325&t=1. Open from June 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 2834 Insight Community Members. 1297 members completed the survey which represents a completion rate of 46%. A total of 1396 respondents completed the survey: 1297 Insight Community Members and 99 using the anonymous link which will have no demographic info.
296;CoE Golf - Edmonton Insight Community ; edmonton  ;563;165;2015-11-26 21:18:28+00:00;  https://data.edmonton.ca/d/k6pm-5rg4 ;CoE Golf - Edmonton Insight Community - This was one single topic among many as part of the September 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=526&as=7YW63mx6N7&t=1. Open from September 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 3516 Insight Community Members. 1477 members completed the survey which represents a completion rate of 42%. A total of 1637 respondents completed the survey: 1477 Insight Community Members and 160 using the anonymous link which will have no demographic info.
297;Edmonton Air Quality - Edmonton Insight Community ; edmonton  ;556;189;2016-03-09 22:28:53+00:00;  https://data.edmonton.ca/d/ajbf-vqse ;Edmonton Air Quality - Edmonton Insight Community - This was one single topic among many as part of the May Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=310&t=1. Open from May 11 - 19, 2015. At the time the survey was launched survey invitations were sent to 2709 Insight Community Members. 1115 members completed the survey which represents a completion rate of 41%. A total of 1210 respondents completed the survey: 1115 Insight Community Members and 95 using the anonymous link which will have no demographic info.
298;Measuring Progress Questionnaire - Park Usage ; edmonton  ;550;180;2016-02-09 22:02:27+00:00;  https://data.edmonton.ca/d/8bgu-n3fh ;Measuring Progress Questionnaire - Park Usage - This was survey sent to the Insight Community in conjunction with a telephone survey performed to gauge residents thoughts on the City and how they think about their city. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=182&as=yN1J0gu9Dz&t=1. Open from January 26 - February 04, 2015. At the time the survey was launched survey invitations were sent to 2215 Insight Community Members. 1127 members completed the survey which represents a completion rate of 51%. A total of 1284 respondents completed the survey: 1127 Insight Community Members and 157 using the Open link.
299;FOIP Requests ; edmonton  ;549;179;2017-11-20 18:08:12+00:00;  https://data.edmonton.ca/d/u2wt-gn9w ;FOIP Requests - A dataset of all FOIP requests received by the City of Edmonton, and details relating to each.
300;2014 Census - Dwelling Unit By Structure Type (Ward) ; edmonton  ;540;217;2016-09-13 17:17:16+00:00;  https://data.edmonton.ca/d/udd2-pxre ;2014 Census - Dwelling Unit By Structure Type (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
301;2012 Census - Population By Marital Status (Neighbourhood) ; edmonton  ;539;323;2016-09-13 15:58:16+00:00;  https://data.edmonton.ca/d/bms6-cuv9 ;2012 Census - Population By Marital Status (Neighbourhood) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
302;2012 Census - Population By Structure Type (Ward) ; edmonton  ;538;234;2016-09-13 16:02:39+00:00;  https://data.edmonton.ca/d/7tzq-etnt ;2012 Census - Population By Structure Type (Ward) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
303;Row Housing Setbacks in RF3 Zones - Edmonton Insight Community ; edmonton  ;535;149;2016-01-14 22:08:39+00:00;  https://data.edmonton.ca/d/3vdt-mvdi ;Row Housing Setbacks in RF3 Zones - Edmonton Insight Community - This was one single topic among many as part of the October 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=558&as=o7np0xc2YJ&t=1. Open from October 13 - 21, 2015. At the time the survey was launched survey invitations were sent to 3857 Insight Community Members. 1435 members completed the survey which represents a completion rate of 37%. A total of 1494 respondents completed the survey: 1435 Insight Community Members and 59 using the anonymous link which will have no demographic info.
304;Transit Strategy - Edmonton Insight Community ; edmonton  ;535;165;2016-01-06 20:20:19+00:00;  https://data.edmonton.ca/d/tezv-ehnc ;Transit Strategy - Edmonton Insight Community - This was one single topic among many as part of the November 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=641&as=972dH6O71T&t=1. Open from November 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 3980 Insight Community Members. 1797 members completed the survey which represents a completion rate of 45%. A total of 1914 respondents completed the survey: 1797 Insight Community Members and 117 using the anonymous link which will have no demographic info.
305;School Speed Limit - Edmonton Insight Community ; edmonton  ;534;198;2015-08-20 18:41:51+00:00;  https://data.edmonton.ca/d/dptt-n7dz ;School Speed Limit - Edmonton Insight Community - This was one single topic among many as part of the August 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=76&t=1. Open from Aug 19 - 25, 2014. At the time the survey was launched survey invitations were sent to 1029 Insight Community Members. 646 members completed the survey which represents a completion rate of 63%. A total of 816 respondents completed the survey: 646 Insight Community Members and 170 using the anonymous link which will have no demographic info.
306;Approved Operating Budget - Expenses ; edmonton  ;531;403;2017-11-16 23:17:57+00:00;  https://data.edmonton.ca/d/da9s-v9j8 ;Approved Operating Budget - Expenses - Summary of the City of Edmonton's Financial Operating Budget by Fund Type, Department, Branch, and Program.  This dataset powers the Edmonton Open Budget site budget.edmonton.ca
307;2012 Census - Dwelling Unit Status (Ward) ; edmonton  ;526;220;2016-09-13 16:35:14+00:00;  https://data.edmonton.ca/d/a225-i9ns ;2012 Census - Dwelling Unit Status (Ward) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
308;2012 Census - Dwelling Units By Structure Type And Occupancy (Ward) ; edmonton  ;524;221;2016-09-13 16:03:02+00:00;  https://data.edmonton.ca/d/dbkf-sdrd ;2012 Census - Dwelling Units By Structure Type And Occupancy (Ward) - All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
309;Herbicide Use - Edmonton Insight Community ; edmonton  ;519;174;2016-03-10 21:49:43+00:00;  https://data.edmonton.ca/d/84z8-8825 ;Herbicide Use - Edmonton Insight Community - This was one single topic among many as part of the March Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=219&t=1. Open from March 9 - 17, 2015. At the time the survey was launched survey invitations were sent to 2351 Insight Community Members. 1137 members completed the survey which represents a completion rate of 48%. A total of 1205 respondents completed the survey: 1137 Insight Community Members and 68 using the anonymous link which will have no demographic info.
310;2014 Census - Dwelling Unit By Language (Citywide) ; edmonton  ;519;218;2016-09-13 17:07:14+00:00;  https://data.edmonton.ca/d/xybb-yhva ;2014 Census - Dwelling Unit By Language (Citywide) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
311;Stanley A Milner Library - Edmonton Insight Community ; edmonton  ;505;160;2016-03-09 22:31:08+00:00;  https://data.edmonton.ca/d/89gr-fhqe ;Stanley A Milner Library - Edmonton Insight Community - This was one single topic among many as part of the June 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=325&t=1. Open from June 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 2834 Insight Community Members. 1297 members completed the survey which represents a completion rate of 46%. A total of 1396 respondents completed the survey: 1297 Insight Community Members and 99 using the anonymous link which will have no demographic info.
312;Memos to Council ; edmonton  ;514;19;2017-11-15 12:00:37+00:00;  https://data.edmonton.ca/d/kyni-rzw4 ;Memos to Council - Data set containing memos sent from Administration to Council.
313;Bike Lane Funding - Edmonton Insight Community ; edmonton  ;498;192;2016-03-10 23:01:27+00:00;  https://data.edmonton.ca/d/qwy2-h3ny ;Bike Lane Funding - Edmonton Insight Community - This was one single topic among many as part of the first October  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=109&t=1. Open from Oct 13 - 21, 2014. At the time the survey was launched survey invitations were sent to 1639 Insight Community Members. 898 members completed the survey which represents a completion rate of 55%. A total of 1146 respondents completed the survey: 898 Insight Community Members and 248 using the anonymous link which will have no demographic info.
314;City Service Satisfaction - Edmonton Insight Community ; edmonton  ;497;168;2016-03-09 22:49:51+00:00;  https://data.edmonton.ca/d/h9pg-n8ch ;City Service Satisfaction - Edmonton Insight Community - This was one single topic among many as part of the December Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=141&t=1. Open from November 30 - December 09, 2014. At the time the survey was launched survey invitations were sent to 2035 Insight Community Members. 950 members completed the survey which represents a completion rate of 47%. A total of 1049 respondents completed the survey: 950 Insight Community Members and 99 using the anonymous link which will have no demographic info.
315;2012 Census - Population By Mode Of Transportation (Neighbourhood) ; edmonton  ;490;295;2016-09-13 15:56:42+00:00;  https://data.edmonton.ca/d/24yu-behb ;2012 Census - Population By Mode Of Transportation (Neighbourhood) - All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
316;2013 Monthly KM's Driven By Asset Class And Department ; edmonton  ;490;178;2015-06-04 21:43:47+00:00;  https://data.edmonton.ca/d/3pcu-twt5 ;2013 Monthly KM's Driven By Asset Class And Department - Number of kilometers driven by fleet vehicles per month and department for 2013. The KM's driven data excludes all external clients (AHS and EPCOR) as well as ME4000 (self propelled equipment).
317;Licensed Cabs ID And Safety - Edmonton Insight Community ; edmonton  ;485;173;2015-07-08 17:26:52+00:00;  https://data.edmonton.ca/d/mmqu-q3wx ;Licensed Cabs ID And Safety - Edmonton Insight Community - This was one single topic among many as part of the January Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=185&t=1. Open from January 11 - 20, 2015. At the time the survey was launched survey invitations were sent to 2159 Insight Community Members. 1070 members completed the survey which represents a completion rate of 50%. A total of 1178 respondents completed the survey: 1070 Insight Community Members and 108 using the anonymous link which will have no demographic info.
318;2014 Census - Population By School Residency (Neighbourhood) ; edmonton  ;484;284;2016-09-13 17:08:32+00:00;  https://data.edmonton.ca/d/qd5f-vy6n ;2014 Census - Population By School Residency (Neighbourhood) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
319;2014 Census - Population By Ownership And Length Of Residence (Neighbourhood) ; edmonton  ;480;275;2016-09-13 17:16:56+00:00;  https://data.edmonton.ca/d/ec9y-ni5n ;2014 Census - Population By Ownership And Length Of Residence (Neighbourhood) - All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).
320;Phone Survey - Edmonton Insight Community ; edmonton  ;477;159;2016-03-10 22:42:11+00:00;  https://data.edmonton.ca/d/786g-hnjp ;Phone Survey - Edmonton Insight Community - This was one single topic among many as part of the September  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=86&t=1. Open from Sept 08 - 15, 2014. At the time the survey was launched survey invitations were sent to 1291 Insight Community Members. 703 members completed the survey which represents a completion rate of 54%. A total of 919 respondents completed the survey: 703 Insight Community Members and 216 using the anonymous link which will have no demographic info.
321;Datasets Published By Year ; edmonton  ;472;183;2017-01-18 22:46:28+00:00;  https://data.edmonton.ca/d/jc9a-whph ;Datasets Published By Year - This shows the historical data for number of datasets published on the City of Edmonton's Open Data Catalogue.
322;Seniors Centres ; edmonton  ;471;390;2017-11-20 17:55:44+00:00;  https://data.edmonton.ca/d/zmac-3mxq ;Seniors Centres - List of senior centres in Edmonton
323;Mobile App - Edmonton Insight Community ; edmonton  ;469;155;2015-10-29 18:57:57+00:00;  https://data.edmonton.ca/d/8ag7-vcb5 ;Mobile App - Edmonton Insight Community - This was one single topic among many as part of the July 2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=46&t=1. Open from July 08 - 20, 2014. At the time the survey was launched survey invitations were sent to 846 Insight Community Members. 662 members completed the survey which represents a completion rate of 78%. A total of 705 respondents completed the survey: 662 Insight Community Members and 43 using the anonymous link which will have no demographic info.
324;2014 Census - Population By Marital Status (Ward) ; edmonton  ;469;212;2016-09-13 16:52:08+00:00;  https://data.edmonton.ca/d/qw3y-bfw4 ;2014 Census - Population By Marital Status (Ward) - All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
325;2009 Census - Population By Structure Type (Citywide) ; edmonton  ;469;221;2016-09-13 15:38:47+00:00;  https://data.edmonton.ca/d/rjq9-ge5s ;2009 Census - Population By Structure Type (Citywide) - All Census information is as of April 1, 2009. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and neighbourhood-level only. The designation of “No Response” includes households from which no census data could be collected or only partial data was available. Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information can not be obtained (i.e. information is not available or can not be released by the facility administration). “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).
326;Midblock Collision Summary (2010 - 2011) ; edmonton  ;468;288;2014-11-17 17:46:50+00:00;  https://data.edmonton.ca/d/igwr-fbps ;"Midblock Collision Summary (2010 - 2011) - This file contains information about all midblock segments (portions of roadway that exist between intersections) in Edmonton with 10 or more collisions for the year 2010 to 2011, including: - The collision rate, where available; - A summary of the number of minor and major injuries as well as fatalities; - A breakdown of collisions by the standard list of causes used in reporting  Collision information is provided by the Motor Vehicle Collision Information System (MVCIS), maintained by the City of Edmonton Office of Traffic Safety. This system tracks police-reported collisions involving at least one motor vehicle that occur on public roadways and which result in property damage of $1,000 or more, as well as any collisions resulting in injury or fatality.   This file is meant as a companion piece to the 2010 Annual Collision Report, produced by the City of Edmonton Office of Traffic Safety. Please refer to the full report for more information on collisions in Edmonton, and definitions of the collision causes and injury types used in this file.   .  Collision Locations Midblock collision locations are usually descibed as being north of or west of an intersection. For example, Whitemud Drive west of 122 Street encompasses all of Whitemud Drive from west of 122 Street (not including the intersections at 122 Street) to the Terwillegar Drive interchange. Generally, a midblock is defined from one intersection to the next intersection with a public roadway. Midblocks in interchanges are defined by their description in the spreadsheet that follows."
